Data/Hora,Download (KB/s),Upload (KB/s),Sinal (dBm),Padrão Wi-Fi,Canal,RX (Mbps),TX (Mbps)
2026-08-13 14:54:01,0.00,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:02,0.00,0.00,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:03,0.00,0.00,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:04,0.30,0.15,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:05,0.00,0.00,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:07,0.00,0.00,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:08,1.14,0.34,-50,802.11ac,48,585.0,585.0
2026-08-13 14:54:09,1.24,0.36,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:10,0.06,0.05,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:11,0.00,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:12,0.07,0.07,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:13,0.19,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:14,5.49,8.01,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:15,14.67,7.21,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:16,0.00,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:17,9.28,0.69,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:18,5.14,7.54,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:20,0.65,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:21,2.29,0.11,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:22,0.00,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:23,0.39,0.23,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:24,0.06,0.05,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:25,0.00,0.00,-50,802.11ac,48,520.0,520.0
2026-08-13 14:54:26,0.00,0.00,-50,802.11ac,48,520.0,520.0
